Team,City,Conference,Division,Start Year,End Year
Falcons,"Atlanta, GA",NFC,NFC South,2010,2022
Chargers,"San Diego, CA",AFC,AFC West,2010,2016
Chargers,"Los Angeles, CA",AFC,AFC West,2017,2022
Ravens,"Baltimore, MD",AFC,AFC North,2010,2022
Cowboys,"Dallas, TX",NFC,NFC East,2010,2022
49ers,"San Francisco, CA",NFC,NFC West,2010,2022
Cardinals,"Phoenix, AZ",NFC,NFC West,2010,2022
Colts,"Indianapolis, IN",AFC,AFC South,2010,2022
Broncos,"Denver, CO",AFC,AFC West,2010,2022
Packers,"Green Bay, WI",NFC,NFC North,2010,2022
Panthers,"Charlotte, NC",NFC,NFC South,2010,2022
Bengals,"Cincinnati, OH",AFC,AFC North,2010,2022
Raiders,"Oakland, CA",AFC,AFC West,2010,2019
Raiders,"Las Vegas, NV",AFC,AFC West,2020,2022
Lions,"Detroit, MI",NFC,NFC North,2010,2022
Dolphins,"Miami, FL",AFC,AFC East,2010,2022
Vikings,"Minneapolis, MN",NFC,NFC North,2010,2022
Browns,"Cleveland, OH",AFC,AFC North,2010,2022
Seahawks,"Seattle, WA",NFC,NFC West,2010,2022
Saints,"New Orleans, LA",NFC,NFC South,2010,2022
Giants,"New York, NY",NFC,NFC East,2010,2022
Texans,"Houston, TX",AFC,AFC South,2010,2022
Jaguars,"Jacksonville, FL",AFC,AFC South,2010,2022
Patriots,"Brockton, MA",AFC,AFC East,2010,2022
Buccaneers,"Tampa, FL",NFC,NFC South,2010,2022
Rams,"Saint Louis, MO",NFC,NFC West,2010,2015
Rams,"Los Angeles, CA",NFC,NFC West,2016,2022
Steelers,"Pittsburgh, PA",AFC,AFC North,2010,2022
Bills,"Buffalo, NY",AFC,AFC East,2010,2022
Eagles,"Philadelphia, PA",NFC,NFC East,2010,2022
Bears,"Chicago, IL",NFC,NFC North,2010,2022
Chiefs,"Kansas City, MO",AFC,AFC West,2010,2022
Jets,"New York, NY",AFC,AFC East,2010,2022
Titans,"Nashville, TN",AFC,AFC South,2010,2022
Washington,"Washington, DC",NFC,NFC East,2010,2022