Season,Start Date,Playoff Start,End Date,Skip Date
2010,20101007,20110413,20110615,20110130
2011,20111006,20120411,20120611,20120129
2012,20130119,20130430,20130624,
2013,20131001,20140416,20140613,
2014,20141008,20150415,20150616,20150125
2015,20151007,20160413,20160612,20160131
2016,20161012,20170412,20170611,20170129
2017,20171004,20180411,20180607,20180128
2018,20181003,20190410,20190612,20190126
2019.1,20191002,,20200311,20200125
2019.2,20200801,20200801,20200928,
2020,20210113,20210515,20210707,20210423
2021,20211012,20220502,20220626,20220205